"《通知》称，禁止任何单位或个人在晋城市城区建成区范围内（小区、公园、景区、广场、学校门口等）露天烧烤，或为露天烧烤提供场地、设备。对固定门店的露天烧烤予以严格处罚。有固定经营门店的烧烤类餐饮店，经营期间不能出现违法露天烧烤，对擅自进行露天烧烤的依法予以处罚。
","对流动的经营性露天烧烤依法进行取缔。对流动烧烤摊点，采取逐个清理、逐个取缔，坚决防止反弹，对取缔后仍在露天烧烤的依法予以处罚。对非经营性露天烧烤进行警告、清理。对违法占用公共空间进行非营业性露天烧烤的，进行教育和劝阻，不听劝阻的依法予以处罚。"
"连续多日的降雨，武汉市江夏区藏龙岛湿地公园内干涸半年多的多塘湿地系统逐渐被雨水充盈。冒着淅淅沥沥的小雨，4月6日清晨，武汉市生态环境科技中心湿地生物多样性调查团队再次来到这里，开展针对国家湿地公园湿地类型生物多样性项目的收官调查。","清晨的鸟儿在雨中公园多塘系统欢腾跳跃、驻足嬉戏，一进公园，科考人员就被跃入眼帘的一对斑嘴鸭所吸引，由于被观察员突然到访给惊到，它们双双飞起，久久盘旋在多塘系统上空。斑嘴鸭多为冬候鸟，通常在每年2月底3月初就会离开武汉北迁，现在能连续在3月和4月看到它们的身影，说明它们已爱上了这片栖息地，愿在藏龙岛安家啦！"
"【环球网快讯】据美国《国会山报》、美国全国广播公司（NBC）报道，美国总统拜登当地时间周一（10日）表示，他计划参加2024年美国大选，但尚未准备就此发表正式声明。

报道称，在当天美媒节目上回答主持人关于连任的问题时，拜登称，“我计划竞选，但我们还没有准备好（正式）宣布（这一决定）”。","此前，拜登曾多次表示，他打算竞选连任，但尚未做出任何正式宣布。据媒体报道，上月21日，拜登在白宫举行仪式，向国家人文奖章和国家艺术奖章获得者颁发奖章。期间，拜登两次打趣2024年总统竞选。法新社称，这可能是拜登所发出的他将寻求总统连任的最明确暗示。"
"这其中，对话机制“重启”是一大亮点。受新冠疫情影响，中法战略、经济财金、人文交流三大高级别对话机制一度停滞。这次，中法双方表示将延续两国元首年度会晤机制，并在今年年内举行三大机制新一次会议。这有助于双方落实元首共识，尽早转化为合作成果。双方重申相互尊重对方主权和领土完整，尊重对方核心利益。法国重申坚持一个中国政策，这体现出双方高度的政治互信。","深化经贸合作是马克龙此次访华的另一重要成果。中国正在全面推进中国式现代化，这为包括法国在内的世界各国提供了更多机遇。这次随同马克龙访华的有60多位法国商界领袖，中法36家企业签署了18项合作协议。共同打造“从法国农场到中国餐桌”的全链条快速协同机制、空中客车公司将在天津建设第二条生产线、法方应邀担任2024年中国服贸会和第七届进博会主宾国……法国《西南报》称，“法国的企业家们都想搭上马克龙访华的专机”。"
"关于新西兰企业在中国发展前景，黎开盛认为，新西兰能从中国公司、科学家、工程师和研究人员那里学到很多东西。他称赞中国能瞄准市场需求，并迅速行动以满足这些需求。","“这对新西兰在华企业来说，也是一个很好的市场验证机会。新西兰优势产业，如农业和畜牧业，可以进入中国市场发展。我一直认为新西兰企业有机会在第三世界市场或第三世界国家发展。”"
"上海铁路局介绍，在浦东新区滨江森林公园段黄浦江防汛大堤地下20米深处，伴随着“沪驰号”国产大直径盾构机的轰鸣声，沪苏通铁路太仓至四团段吴淞口长江隧道右线盾构施工成功穿越黄浦江防汛大堤，标志着该隧道右线盾构施工正式进入黄浦江及长江水域段，工程建设取得阶段性进展。","吴淞口长江隧道是沪苏通铁路太仓至四团段控制性工程，位于浦东新区、宝山区内，下穿长江口及黄浦江，为双洞单线水底隧道，线路总长度7.275公里。隧道采用明挖法与盾构法施工，是中国第一条穿越长江和黄浦江的铁路隧道，中国第一条软土地区盾构法客货共线铁路隧道，中国第一条全封闭内衬盾构法隧道。"
"季后赛首战，主场输给广州龙狮后，山东男篮已经走到了悬崖边上。4月11日19:35，双方的第二场较量将在广州队主场进行。对山东男篮来说，广州之行，唯有取胜，才能翻盘的希望。否则，在三局两胜的晋级规则下，山东男篮本赛季将宣告终结。","10日晚，山东男篮发布了赛前海报，主题是：绝地反击。画面中，陶汉林依然占据中心位，值得一提的是，小外援麦克莱默首次登上海报，这或许意味着山东男篮还是要将他作为奇兵来使用。"
"北京时间2月13日凌晨，2023年ATP250达拉斯站男单决赛。中国球员吴易昺先输一盘后挽救4个赛点并兑现第5个冠军点，最终以6（4）-7/7-6（3）/7-6（12）逆转惊险击败赛会5号种子、美国大炮伊斯内尔，就此改写历史，成为公开赛年代首位夺得ATP巡回赛男单冠军的中国大陆球员，并创造中国大陆球员的男单最高排名！","第一盘比赛，吴易昺在第12局错过了一个盘点，并最终抢七惜败；第二盘则挽救一个赛点后抢七局3-0领先开局，且以7-6（3）扳回一盘；第三盘决胜盘，在关键的第9局15-40落后情况下凭借连续的高质量发球逆转保发，之后比赛再次进入抢七，抢七局依然胶着，吴易昺又挽救了3个赛点，并兑现了自己的第5个冠军点，就此锁定冠军！历史性一刻到来时，吴易昺瞬间躺倒在地。全场比赛，伊斯内尔轰出了44记Ace球，但最终在主场依然输给了吴易昺。"
"所有蚁后的卵细胞都携带R基因组的一个拷贝。如果这个卵子被具有R基因组的精细胞受精，就会产生一个蚁后。然而，如果卵子被W精子受精，则有两种可能的结果：如果两个含有基因组的细胞核融合，就会形成二倍体工蚁；如果细胞核不融合，卵子就会发育成一个嵌合的雄性，一些细胞携带R基因，另一些细胞携带W基因。","美国洛克菲勒大学生物学家Daniel Kronauer说：“就我们所知，这是一种无与伦比的生物学现象。”黄疯蚁的嵌合体可能有助于提高该物种逃避生态系统不利影响的能力。蚁后有专门的器官储存来自多个雄性的精子。这意味着一个单独储存R和W精子的蚁后可以建立一个新的蚁群。"
"4月9日，有市民发现，四川省成都市武侯区大悦路的人行道上，出现大量黑色小虫，路过的小孩被吓到尖叫。

记者联系到成都华希昆虫博物馆馆长、知名昆虫学家赵力，他解释称，此虫名为马陆，又名千足虫，这几天成都气温走高，马陆纷纷从窝里爬出。","据悉，在较暖和的日子里农田、绿化带等“宜居”区域的马陆开始出蛰活动，有时会爬到道路、居舍墙面等处，引起部分市民恐慌。虽然无需害怕，但若它们数量较多，引起密集恐惧，在居住区域内也会带来一些烦扰，各位街坊可以这样做：

一、进行环境清扫，清除马陆活动区域周边的枯枝落叶、杂草以及碎砖瓦、堆材等杂物，减少马陆的隐蔽场所；

二、扫除爬出的马陆个体，集中在一起用热水浸泡灭杀，这是较为无害的方法；"
